"taxid","species_name","accession_num","seq_name","seq_len"
"2739697","Haplochromis serridens","","",""
"2739696","Haplochromis mentatus","","",""
"2739695","Haplochromis nigripinnis","","",""
"2739693","Haplochromis paradoxus","","",""
"2739692","Haplochromis labiatus","","",""
"2739691","Haplochromis schubotziellus","","",""
"2739690","Haplochromis mylodon","","",""
"2739687","Haplochromis schubotzi","","",""
"2739686","Haplochromis pappenheimi","","",""
"2739685","Haplochromis eduardianus","","",""
"2728977","Haplochromis cavifrons","","",""
"2696972","Geophagus winemilleri","","",""
"2691079","Crenicichla jaguarensis","","",""
"2652850","Thysochromis emili","1758000004","",""
"2652315","Aulonocara rostratum","","",""
"2652314","Aulonocara nyassae","","",""
"2652313","Aulonocara steveni","","",""
"2652312","Aulonocara koningsi","","",""
"2595012","Pseudocrenilabrus pyrrhocaudalis","","",""
"2591642","Gymnogeophagus australis","","",""
"2591641","Gymnogeophagus caaguazuensis","","",""
"2591263","Xenotilapia nasus","","",""
"2591262","Trematocara stigmaticum","","",""
"2591261","Trematocara caparti","","",""
"2591259","Ptychochromis oligacanthus","33286583","",""
"2591258","Petrochromis horii","","",""
"2591256","Neolamprologus crassus","","",""
"2591255","Neolamprologus chitamwebwai","","",""
"2591254","Neolamprologus cancellatus","","",""
"2591253","Lepidiolamprologus kamambae","","",""
"2591252","Julidochromis marksmithi","","",""
"2591251","Heterotilapia buettikoferi","768700919","",""
"2591248","Apistogramma diplotaenia","","",""
"2570637","Oreochromis upembae","","",""
"2570636","Oreochromis salinicola","","",""
"2570635","Oreochromis rukwaensis","","",""
"2570634","Oreochromis angolensis","1829760303","",""
"2566093","Australoheros charrua","296836836","",""
"2563736","Paretroplus lamenabe","","",""
"2563733","Astronotus mikoljii","","",""
"2563007","Geophagus sveni","2624869663","",""
"2562573","Australoheros tavaresi","","",""
"2562572","Australoheros saquarema","","",""
"2562571","Australoheros sanguineus","","",""
"2562570","Australoheros robustus","","",""
"2562569","Australoheros ribeirae","","",""
"2562568","Australoheros perdi","","",""
"2562567","Australoheros paraibae","","",""
"2562566","Australoheros muriae","","",""
"2562565","Australoheros mattosi","","",""
"2562564","Australoheros macaensis","","",""
"2562563","Australoheros macacuensis","","",""
"2562562","Australoheros ipatinguensis","","",""
"2562561","Australoheros barbosae","","",""
"2562560","Australoheros autrani","","",""
"2527917","Orthochromis mporokoso","","",""
"2527916","Orthochromis katumbii","","",""
"2527915","Orthochromis indermauri","","",""
"2527914","Lamprologus symoensi","","",""
"2527913","Lamprologus markerti","","",""
"2527912","Haplochromis vanheusdeni","","",""
"2527911","Chetia welwitschi","","",""
"2491315","Gymnogeophagus lipokarenos","","",""
"2491314","Gymnogeophagus constellatus","","",""
"2491313","Gymnogeophagus che","","",""
"2486989","Oreochromis korogwe","","",""
"2486988","Oreochromis hunteri","","",""
"2485722","Rubricatochromis stellifer","1508230024","",""
"2478854","Apistogramma resticulosa","1495844524","",""
"2478853","Apistogramma pulchra","1495844554","",""
"2478852","Apistogramma pertensis","1495844536","",""
"2478851","Aequidens pallidus","1495844468","",""
"2478850","Aequidens epae","1495844476","",""
"2421124","Hemichromis camerounensis","","",""
"2341046","Geophagus santosi","1864211465","",""
"2341045","Geophagus rufomarginatus","1864211553","",""
"2341044","Geophagus multiocellus","1864211463","",""
"2305434","Naevochromis chrysogaster","","",""
"2305433","Caprichromis liemi","","",""
"2305432","Hemitaeniochromis urotaenia","","",""
"2305428","Mylochromis melanonotus","","",""
"2305427","Placidochromis phenochilus","","",""
"2305426","Otopharynx tetrastigma","","",""
"2305425","Mylochromis plagiotaenia","","",""
"2305424","Lethrinops marginatus","","",""
"2305423","Copadichromis azureus","","",""
"2305422","Champsochromis caeruleus","","",""
"2305421","Buccochromis rhoadesii","","",""
"2305420","Aulonocara maylandi","","",""
"2302651","Chocoheros microlepis","","",""
"2302646","Cincelichthys bocourti","","",""
"2302645","Australoheros minuano","","",""
"2302644","Amatitlania kanna","","",""
"2283116","Apistogramma norberti","","",""
"2283115","Apistogramma martini","","",""
"2126561","Hemibates koningsi","","",""
"2099951","Panamius panamensis","1351315593","",""
"2099948","Isthmoheros tuyrensis","1351315445","",""
"2099945","Geophagus pellegrini","1351315265","",""
"2099944","Geophagus crassilabris","1351315261","",""
"2081656","Gymnogeophagus taroba","","",""
"2058468","Crenicichla tuca","","",""
"2058467","Crenicichla tingui","","",""
"2058466","Crenicichla tapii","","",""
"2058465","Crenicichla taikyra","","",""
"2058460","Crenicichla semicincta","","",""
"2058459","Crenicichla lucius","","",""
"2058458","Crenicichla jurubi","","",""
"2058457","Crenicichla cyclostoma","","",""
"2058448","Crenicichla anthurus","1862627682","",""
"2056491","Danakilia franchettii","1312510847","",""
"2032717","Cichlasoma sanctifranciscense","1239413350","",""
"2023897","Apistogramma ortmanni","","",""
"2023896","Crenicichla iguapina","","",""
"2023884","Gymnogeophagus tiraparae","","",""
"2023883","Crenicichla percna","1495844606","",""
"2023882","Crenicichla maculata","","",""
"2023881","Crenicichla jegui","1495844612","",""
"2023880","Crenicichla cincta","","",""
"2023879","Crenicichla albopunctata","2037391011","",""
"2022011","Lamprologus lethops","","",""
"2021276","Chortiheros wesseli","208479749","",""
"2021274","Teleocichla preta","1495844894","",""
"2021273","Mesoheros gephyrus","","",""
"2021272","Mazarunia pala","","",""
"2021271","Mazarunia charadrica","","",""
"2021269","Krobia xinguensis","","",""
"2021268","Krobia petitella","","",""
"2021266","Guianacara dacrya","","",""
"2021265","Crenicichla zebrina","","",""
"2021264","Crenicichla wallacii","1495844694","",""
"2021262","Apistogramma steindachneri","","",""
"2021261","Apistogramma panduro","","",""
"1982068","Trematocara zebra","","",""
"1978005","Mylochromis sphaerodon","","",""
"1978002","Copadichromis likomae","","",""
"1934931","Kronoheros umbrifer","1351315461","",""
"1927406","Iranocichla persa","1115242334","",""
"1924958","Haplochromis kamiranzovu","","",""
"1905563","Danakilia dinicolai","1312510827","",""
"1905361","Melanochromis loriae","","",""
"1905360","Ctenopharynx nitidus","","",""
"1904028","Apistogramma playayacu","1240939743","",""
"1904018","Apistogramma paulmuelleri","1240939759","",""
"1904017","Apistogramma wolli","1862627644","",""
"1904016","Apistogramma pantalone","1862627662","",""
"1904013","Apistogramma moae","1240939729","",""
"1904012","Apistogramma luelingi","","",""
"1904011","Apistogramma juruensis","","",""
"1904010","Apistogramma atahualpa","1862627632","",""
"1904009","Apistogramma allpahuayo","1862627648","",""
"1897418","Bujurquina oenolaemus","","",""
"1897146","Bujurquina zamorensis","1061272758","",""
"1897145","Apistogramma linkei","1061272750","",""
"1830337","Herichthys tepehua","","",""
"1830336","Herichthys pame","","",""
"1818572","Eretmodus marksmithi","2892916076","",""
"1811344","Tangachromis dhanisi","","",""
"1811340","Trematocara kufferathi","","",""
"1776355","Apistogramma gephyra","","",""
"1767049","Ptychochromis mainty","961441846","",""
"1758169","Pterophyllum altum","966202475","",""
"1758131","Retroculus lapidifer","2624870099","",""
"1758129","Bujurquina mariae","","",""
"1732171","Placidochromis longimanus","948550225","",""
"1725324","Rondonacara hoehnei","","",""
"1725323","Laetacara fulvipinnis","","",""
"1725322","Laetacara flamannellus","","",""
"1725321","Laetacara araguaiae","1495844810","",""
"1725217","Geophagus obscurus","1864211497","",""
"1725216","Geophagus itapicuruensis","1864211481","",""
"1725215","Geophagus diamantinensis","1864211503","",""
"1707823","Melanochromis kaskazini","","",""
"1696849","Guianacara geayi","","",""
"1676928","Pelmatochromis ocellifer","873293224","",""
"1652533","Sarotherodon lamprechti","","",""
"1652532","Sarotherodon knauerae","","",""
"1652530","Oreochromis karomo","","",""
"1652529","Coptodon thysi","","",""
"1652528","Coptodon spongotroktis","","",""
"1652524","Coptodon kottae","","",""
"1652521","Coptodon fusiforme","","",""
"1652519","Coptodon ejagham","","",""
"1652518","Coptodon bythobates","","",""
"1649848","Pseudosimochromis margaretae","","",""
"1628151","Coptodon camerunensis","768700909","",""
"1607855","Teleogramma obamaorum","756130388","",""
"1607854","Teleogramma monogramma","756130380","",""
"1591299","Oreochromis lepidurus","743612303","",""
"1574382","Apistogramma eunotus","1862627672","",""
"1574379","Apistogramma cacatuoides","949492899","",""
"1574375","Apistogramma barlowi","1240939697","",""
"1574374","Apistogramma eremnopyge","1862627630","",""
"1574373","Apistogramma nijsseni","949492805","",""
"1574372","Apistogramma baenschi","1862627636","",""
"1574370","Apistogramma cinilabra","1240939707","",""
"1574369","Apistogramma rositae","1862627668","",""
"1543271","Parananochromis ornatus","","",""
"1543270","Parananochromis longirostris","","",""
"1543269","Parananochromis brevirostris","","",""
"1543268","Parananochromis axelrodi","","",""
"1543266","Divandu albimarginatus","","",""
"1543261","Pelvicachromis subocellatus","","",""
"1543258","Pelvicachromis roloffi","","",""
"1543257","Congochromis squamiceps","","",""
"1543252","Chromidotilapia schoutedeni","873292616","",""
"1543251","Chromidotilapia regani","","",""
"1543250","Chromidotilapia melaniae","","",""
"1543249","Chromidotilapia kingsleyae","756130392","",""
"1543248","Chromidotilapia elongata","","",""
"1537670","Amatitlania siquia","","",""
"1537669","Amatitlania coatepeque","","",""
"1514675","Pelvicachromis kribensis","","",""
"1514673","Chromidotilapia linkei","","",""
"1514672","Benitochromis riomuniensis","","",""
"1514671","Benitochromis nigrodorsalis","1061272754","",""
"1514670","Benitochromis finleyi","","",""
"1514669","Benitochromis conjunctus","","",""
"1506565","Chalinochromis cyanophleps","648870384","",""
"1497101","Lethrinops lethrinus","","",""
"1492750","Neolamprologus timidus","619329184","",""
"1452741","Trematocara variabile","","",""
"1448877","Oreochromis squamipinnis","","",""
"1448876","Oreochromis shiranus","1829760321","",""
"1448875","Oreochromis chungruruensis","","",""
"1434124","Cichlasoma orientale","1239413336","",""
"1410464","Pterophyllum leopoldi","","",""
"1410462","Orthochromis luongoensis","","",""
"1410461","Mesonauta mirificus","1433683139","",""
"1410458","Geophagus iporangensis","1864211599","",""
"1410457","Chetia mola","","",""
"1410456","Biotoecus opercularis","","",""
"1410455","Benitochromis batesii","","",""
"1355922","Cyphotilapia gibberosa","","",""
"1315705","Coptodon deckerti","","",""
"1301021","Paraneetroplus nebulifer","","",""
"1300322","Lethrinops albus","","",""
"1298789","Placidochromis electra","","",""
"1298786","Petrotilapia genalutea","","",""
"1298779","Labidochromis pallidus","","",""
"1298778","Labidochromis mylodon","","",""
"1298775","Mylochromis epichorialis","","",""
"1280522","Dicrossus filamentosus","","",""
"1263297","Congolapia louna","","",""
"1263296","Congolapia crassa","1508229612","",""
"1237360","Orthochromis kalungwishiensis","","",""
"1237182","Orthochromis torrenticola","","",""
"1237181","Orthochromis stormsi","873293360","",""
"1237176","Astatotilapia stappersii","","",""
"1237169","Haplochromis snoeksi","","",""
"1237161","Thoracochromis callichromus","","",""
"1237160","Cyclopharynx schwetzi","","",""
"1224741","Crenicichla frenata","","",""
"1204183","Cichla nigromaculata","","",""
"1202905","Thoracochromis wingatii","","",""
"1202851","Haplochromis macropsoides","","",""
"1193633","Ptychochromoides itasy","388460881","",""
"1171431","Trematochromis benthicola","1061272762","",""
"1158422","Chindongo socolofi","381342725","",""
"1131402","Trematocara nigrifrons","","",""
"1123833","Crenicichla haroldoi","359742260","",""
"1123832","Crenicichla britskii","295081246","",""
"1123830","Cichlasoma paranaense","755572529","",""
"1084758","Trematocara marginatum","","",""
"1084754","Haplochromis thereuterion","","",""
"1084747","Haplochromis laparogramma","","",""
"1078953","Haplochromis fischeri","","",""
"1077074","Crenicichla marmorata","","",""
"1077073","Crenicichla jupiaensis","","",""
"1077072","Crenicichla igara","","",""
"1077071","Crenicichla hadrostigma","","",""
"1077070","Crenicichla cyanonotus","","",""
"1077069","Crenicichla cametana","1495844640","",""
"1077068","Mesoheros ornatus","","",""
"1077067","Australoheros ykeregua","","",""
"1077066","Australoheros kaaygua","","",""
"1077065","Australoheros forquilha","","",""
"1075432","Placidochromis platyrhynchos","","",""
"1075431","Alticorpus geoffreyi","","",""
"1075427","Placidochromis vulgaris","","",""
"1069630","Congochromis sabinae","","",""
"1069607","Teleogramma gracile","756130372","",""
"1069602","Steatocranus rouxi","","",""
"1069601","Steatocranus mpozoensis","","",""
"1069595","Nanochromis wickleri","","",""
"1069594","Nanochromis transvestitus","","",""
"1069593","Nanochromis teugelsi","","",""
"1069592","Nanochromis splendens","","",""
"1069590","Nanochromis nudiceps","","",""
"1069589","Nanochromis minor","","",""
"1069588","Nanochromis consortus","","",""
"1027357","Tylochromis sudanensis","313181957","",""
"1007108","Amphilophus supercilius","","",""
"1007106","Amphilophus globosus","","",""
"934812","Lichnochromis acuticeps","","",""
"934809","Astatotilapia swynnertoni","","",""
"934269","Petrotilapia tridentiger","","",""
"934268","Haplochromis tanaos","","",""
